scheme,burst_duration_packets,pdr_pct_mean,pdr_pct_std,n_runs
random,5,99.8,0.447,50
random,10,96.84,1.617,50
random,20,84.74,3.285,50
random,30,74.0,4.195,50
random,40,66.16,4.523,50
random,50,60.64,4.48,50
random,60,56.74,4.923,50
static,5,100.0,0.0,50
static,10,100.0,0.0,50
static,20,100.0,0.0,50
static,30,100.0,0.0,50
static,40,100.0,0.0,50
static,50,100.0,0.0,50
static,60,100.0,0.0,50
apc,5,100.0,0.0,50
apc,10,100.0,0.0,50
apc,20,100.0,0.0,50
apc,30,100.0,0.0,50
apc,40,100.0,0.0,50
apc,50,100.0,0.0,50
apc,60,100.0,0.0,50
