policy,regime,n_windows,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Fixed-Rate,both_clean,200,3.346856275352132,0.8805970149253731,0.87,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.266557485134305,0.7389935645899672,0.6497958935802052
Fixed-Rate,both_degraded,200,14.342626172308165,0.6722689075630253,0.835,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.07011101736384377,0.5379579774407595,0.45334942580974397
Fixed-Rate,ecg_degraded,200,6.924357307213672,0.6728971962616822,0.855,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.1485903939693618,0.629874872691322,0.531828802415262
Fixed-Rate,ecg_missing,200,3.211546451815837,0.8717948717948718,0.86,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.2582759162590645,0.7493151329898453,0.6415143247049646
Fixed-Rate,ppg_degraded,200,5.4487024188023705,0.7128712871287128,0.875,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.19020883874476172,0.6587338583621067,0.573447247190662
Fixed-Rate,ppg_missing,200,4.073394588543425,0.8774193548387097,0.855,0.09580959999999998,11.9762,117.42599999999999,1.0,1.0,0.251388537692439,0.7311712159276986,0.6346269461383391
Always-Local,both_clean,200,2.0111223911531835,0.9253731343283582,0.935,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.20381239621200123,0.7389935645899672,0.6852185109482732
Always-Local,both_degraded,200,14.30921593087605,0.7142857142857143,0.875,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.0016253130909572966,0.5379579774407595,0.4830314278272293
Always-Local,ecg_degraded,200,6.2742421590041495,0.7222222222222222,0.91,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.08678351735329441,0.629874872691322,0.5681896320895664
Always-Local,ecg_missing,200,2.4646624186404797,0.9026548672566371,0.915,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.1994087201078084,0.7493151329898453,0.6808148348440803
Always-Local,ppg_degraded,200,4.833400420232708,0.7184466019417476,0.92,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.12299903553324665,0.6587338583621067,0.6044051502695187
Always-Local,ppg_missing,200,2.285474736564375,0.9230769230769231,0.9,0.11988639999999996,14.985800000000005,142.04999999999995,1.0,1.0,0.17607052460014405,0.7311712159276986,0.6574766393364161
Always-Edge,both_clean,200,2.0111223911531835,0.9253731343283582,0.935,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.2056728160532049,0.7389935645899672,0.6852185109482732
Always-Edge,both_degraded,200,14.30921593087605,0.7142857142857143,0.875,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.0034857329321609414,0.5379579774407595,0.4830314278272293
Always-Edge,ecg_degraded,200,6.2742421590041495,0.7222222222222222,0.91,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.08864393719449805,0.629874872691322,0.5681896320895664
Always-Edge,ecg_missing,200,2.4646624186404797,0.9026548672566371,0.915,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.20126913994901205,0.7493151329898453,0.6808148348440803
Always-Edge,ppg_degraded,200,4.833400420232708,0.7184466019417476,0.92,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.1248594553744503,0.6587338583621067,0.6044051502695187
Always-Edge,ppg_missing,200,2.285474736564375,0.9230769230769231,0.9,0.11988639999999996,14.985800000000005,122.26418285714288,1.0,1.0,0.1779309444413477,0.7311712159276986,0.6574766393364161
Heuristic-Rule,both_clean,200,2.0041998730020065,0.9253731343283582,0.925,0.09340192000000001,11.675240000000004,97.79494319999999,1.0,1.0,0.3044941774108537,0.7389935645899672,0.6781855987741724
Heuristic-Rule,both_degraded,200,14.262182308319886,0.7142857142857143,0.875,0.09442518400000001,11.803148,97.75473194285715,1.0,1.0,0.10523987009082653,0.5379579774407595,0.48301504820089364
Heuristic-Rule,ecg_degraded,200,6.209495023021748,0.7222222222222222,0.91,0.09514748800000002,11.893436000000001,99.4796509142857,1.0,1.0,0.18748802850676072,0.629874872691322,0.5681896320895657
Heuristic-Rule,ecg_missing,200,2.817547119882885,0.8947368421052632,0.89,0.09376307200000002,11.720384000000001,97.17650102857144,1.0,1.0,0.2936959688104246,0.7493151329898453,0.6687947898185328
Heuristic-Rule,ppg_degraded,200,4.825371399386671,0.7254901960784313,0.91,0.09310096000000001,11.637620000000002,97.09245748571429,1.0,1.0,0.22338100815347794,0.6587338583621067,0.5958406813633408
Heuristic-Rule,ppg_missing,200,2.4285729250867605,0.9019607843137255,0.89,0.09346211200000001,11.682764000000002,97.36357548571428,1.0,1.0,0.27613746384857907,0.7311712159276986,0.6500696537280589
PIR-Contextual-Bandit (LinUCB),both_clean,200,3.3685435716761365,0.8805970149253731,0.87,0.086901184,10.862648000000002,90.17194468571427,1.0,1.0,0.30224292138544695,0.7389935645899672,0.6498848695261293
PIR-Contextual-Bandit (LinUCB),both_degraded,200,14.060865851229387,0.7049180327868853,0.845,0.092980576,11.622572000000002,99.33951302857143,1.0,1.0,0.0934209572841152,0.5379579774407595,0.4654642064164467
PIR-Contextual-Bandit (LinUCB),ecg_degraded,200,7.023002604154053,0.6728971962616822,0.86,0.08828560000000003,11.035700000000002,93.16244502857144,1.0,1.0,0.1822199400722149,0.629874872691322,0.5353716486264757
PIR-Contextual-Bandit (LinUCB),ecg_missing,200,2.9861124424248304,0.896551724137931,0.86,0.088405984,11.050748,100.68028234285715,1.0,1.0,0.2894658295185682,0.7493151329898453,0.6431362837730057
PIR-Contextual-Bandit (LinUCB),ppg_degraded,200,5.431458059034055,0.7,0.875,0.08768368000000003,10.960460000000003,90.67417777142855,1.0,1.0,0.22718375068741992,0.6587338583621067,0.5779277785126631
PIR-Contextual-Bandit (LinUCB),ppg_missing,200,3.179411381430309,0.881578947368421,0.875,0.08954963200000002,11.193704000000002,95.54170725714286,1.0,1.0,0.28136636102524676,0.7311712159276986,0.6396486169034115
