policy,regime,hr_mae_bpm,event_f1,pdr,mean_energy_j,mean_power_mw,mean_latency_ms,deadline_success_rate,power_cap_success_rate,mean_reward,mean_piv,mean_u_pir
Always-Edge,both_clean,2.6790156756088725,0.8896174023042374,0.889,0.11988639999999998,14.985800000000006,122.2641828571429,1.0,1.0,0.17647052976764638,0.738740009150666,0.6560162246627147
Always-Edge,both_degraded,13.750791068305782,0.7716238196342056,0.885,0.11988639999999998,14.985800000000006,122.2641828571429,1.0,1.0,4.0362043343523944e-05,0.5428719343525543,0.4795860569384119
Always-Edge,ecg_degraded,6.920670817995216,0.5854779883906097,0.893,0.11988639999999998,14.985800000000006,122.2641828571429,1.0,1.0,0.08130083162484136,0.6309930221803868,0.5608465265199097
Always-Edge,ecg_missing,2.8500242880508644,0.8937222034726778,0.876,0.11988639999999998,14.985800000000006,122.2641828571429,1.0,1.0,0.17963830273334438,0.7493110891172168,0.6591839976284127
Always-Edge,ppg_degraded,6.281500819904345,0.6405568819249724,0.893,0.11988639999999998,14.985800000000006,122.2641828571429,1.0,1.0,0.09984790604123099,0.6497724326555392,0.5793936009362994
Always-Edge,ppg_missing,2.493471751545887,0.9106339096572645,0.893,0.11988639999999998,14.985800000000006,122.2641828571429,1.0,1.0,0.1742903178098139,0.7309122330467519,0.6538360127048822
Always-Local,both_clean,2.6790156756088725,0.8896174023042374,0.889,0.11988639999999998,14.985800000000006,142.04999999999995,1.0,1.0,0.1746101099264427,0.738740009150666,0.6560162246627147
Always-Local,both_degraded,13.750791068305782,0.7716238196342056,0.885,0.11988639999999998,14.985800000000006,142.04999999999995,1.0,1.0,-0.0018200577978601195,0.5428719343525543,0.4795860569384119
Always-Local,ecg_degraded,6.920670817995216,0.5854779883906097,0.893,0.11988639999999998,14.985800000000006,142.04999999999995,1.0,1.0,0.07944041178363773,0.6309930221803868,0.5608465265199097
Always-Local,ecg_missing,2.8500242880508644,0.8937222034726778,0.876,0.11988639999999998,14.985800000000006,142.04999999999995,1.0,1.0,0.17777788289214075,0.7493110891172168,0.6591839976284127
Always-Local,ppg_degraded,6.281500819904345,0.6405568819249724,0.893,0.11988639999999998,14.985800000000006,142.04999999999995,1.0,1.0,0.09798748620002734,0.6497724326555392,0.5793936009362994
Always-Local,ppg_missing,2.493471751545887,0.9106339096572645,0.893,0.11988639999999998,14.985800000000006,142.04999999999995,1.0,1.0,0.17242989796861025,0.7309122330467519,0.6538360127048822
Fixed-Rate,both_clean,3.814770765175267,0.8537950892571045,0.8310000000000001,0.09580959999999998,11.9762,117.42599999999997,1.0,1.0,0.2323076869250332,0.738740009150666,0.6155460953709333
Fixed-Rate,both_degraded,14.139249465856789,0.7363160768972559,0.828,0.09580959999999998,11.9762,117.42599999999997,1.0,1.0,0.0664384039351619,0.5428719343525543,0.44967681238106205
Fixed-Rate,ecg_degraded,7.746680984335794,0.5616343556173128,0.8400000000000001,0.09580959999999998,11.9762,117.42599999999997,1.0,1.0,0.14355891472032875,0.6309930221803868,0.5267973231662288
